average_heartrate,average_speed,average_temp,average_watts,commute,distance,elapsed_time,elev_high,elev_low,has_heartrate,kilojoules,location_country,max_heartrate,max_speed,max_watts,moving_time,timezone,total_elevation_gain,weighted_average_watts,type_Hike,type_NordicSki,type_Ride,type_Run,type_Swim,type_Walk,type_Workout,athlete.sex_F,athlete.sex_M,distance_meters,calories,average_speed_mph,max_speed_mph
151.2,3.022,,89.8,0,21580.0,144.95,3000.5,2777.3,1.0,641.4,Ecuador,175.0,10.9,,119.0,(GMT-05:00) America/Guayaquil,476.3,,0,0,1,0,0,0,0,1,0,13.40918618,153.29844839999998,6.76003268,24.382646
135.9,4.675,6.0,146.0,0,24438.8,89.03333333333333,161.2,99.6,1.0,763.1,Lithuania,182.0,12.8,,87.13333333333334,(GMT+02:00) Europe/Vilnius,303.0,,0,0,1,0,0,0,0,0,1,15.1855615948,182.3854786,10.4576945,28.632832000000004
143.0,6.685,3.0,221.5,0,33632.8,95.36666666666666,198.0,37.2,1.0,1114.6,United Kingdom,174.0,13.9,,83.85,(GMT+00:00) Europe/London,301.0,,0,0,1,0,0,0,0,0,1,20.8984465688,266.3960876,14.9539439,31.093466000000003
150.5,6.124,,95.9,0,28765.1,80.91666666666667,181.5,0.0,1.0,450.6,United Kingdom,174.0,17.1,,78.28333333333333,(GMT+00:00) Europe/London,241.8,,0,0,1,0,0,0,0,0,1,17.8737989521,107.6961036,13.699020560000001,38.25167400000001
147.1,9.249,,205.8,0,69559.8,132.43333333333334,378.0,193.3,1.0,1547.7,Australia,178.0,16.8,,125.35,(GMT+10:00) Australia/Melbourne,383.8,,0,0,1,0,0,0,0,0,1,43.2224424858,369.9095862,20.689458060000003,37.580592
152.5,3.0839999999999996,,,0,8371.3,49.21666666666667,146.8,99.0,1.0,,United States,171.0,3.7,,45.233333333333334,(GMT-08:00) America/Los_Angeles,71.0,,0,0,0,1,0,0,0,1,0,5.2016830523,,6.89872296,8.276678
184.5,2.8810000000000002,,,0,6042.5,34.95,35.2,15.2,1.0,,United States,201.0,4.3,,34.95,(GMT-05:00) America/New_York,19.0,,0,0,0,1,0,0,0,0,1,3.7546342675,,6.444624140000001,9.618842
126.1,2.416,,,0,10697.6,73.86666666666666,370.8,335.4,,,Germany,135.0,2.7,,73.8,(GMT+01:00) Europe/Berlin,110.0,,0,0,0,1,0,0,0,1,0,6.6471784096,,5.40444704,6.039738000000001
153.5,3.2960000000000003,,,0,16009.5,81.95,569.2,509.1,1.0,,Spain,177.0,7.3,,80.95,(GMT+01:00) Europe/Madrid,69.4,,0,0,0,1,0,0,0,0,1,9.9478390245,,7.372954240000001,16.329662
132.2,7.47,21.0,146.1,0,39429.0,94.95,104.4,5.8,1.0,771.0,United States,174.0,18.8,,87.96666666666667,(GMT-08:00) America/Los_Angeles,268.0,,0,0,1,0,0,0,0,0,1,24.500037159,184.273626,16.7099418,42.054472000000004
134.2,5.672000000000001,15.0,206.5,0,48252.3,169.71666666666667,91.2,19.6,1.0,1756.5,Netherlands,178.0,16.8,,141.78333333333333,(GMT+01:00) Europe/Amsterdam,660.0,,0,0,1,0,0,0,0,0,1,29.982579903300003,419.814039,12.687923680000003,37.580592
160.1,8.357999999999999,22.0,146.6,0,49556.6,100.16666666666667,54.0,-1.4,1.0,869.3,United Kingdom,176.0,17.1,,98.81666666666666,(GMT+00:00) Europe/London,197.0,,0,0,1,0,0,0,0,0,1,30.7930340986,207.7679158,18.69634452,38.25167400000001
